|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5423 | 18.319796 |   192.168.0.0 | 20.189.173.11 | TLSv1.3 |  671 | Client Hello (SNI=browser.events.data.microsoft.com)                                                                    |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5425 | 18.322910 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#3] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=131014                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5426 | 18.322910 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#4] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=132454                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5427 | 18.322935 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=141094 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5428 | 18.322975 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=142534 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5429 | 18.323017 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#5] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=133894                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5430 | 18.323031 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=143974 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5431 | 18.323588 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#6] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=135334                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5432 | 18.323588 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#7] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=136774                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5433 | 18.323622 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=145414 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5434 | 18.323670 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=146854 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5465 | 18.442182 | 20.189.173.11 |   192.168.0.0 | TCP     |   60 | 443  >  59922 [ACK] Seq=1 Ack=618 Win=65536 Len=0                                                                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5514 | 18.666171 |   192.168.0.0 | 20.189.173.11 | TCP     |   66 | 59923  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                                                     |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5519 | 18.673392 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 5192#8] 443  >  59890 [ACK] Seq=338 Ack=122374 Win=16385 Len=0 SLE=125254 SRE=138214                       |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5520 | 18.673431 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=148294 Ack=338 Win=514 Len=1440 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5521 | 18.673504 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | 443  >  59890 [ACK] Seq=338 Ack=123814 Win=16379 Len=0 SLE=125254 SRE=138214                                            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 5522 | 18.673504 | 20.189.173.11 |   192.168.0.0 | TCP     |   60 | 443  >  59890 [ACK] Seq=338 Ack=138214 Win=16385 Len=0                                                                  |
